app_id,app_name,review_text,rating,thumbs_up,review_date,reply_text,reply_date,source,clean_text,category,prediction_confidence,needs_human_review,sentiment_score,sentiment,dedupe_method,duplicate_group,duplicate_count,priority_score,priority
com.facebook.lite,facebook,নাইস,1,0,2026-07-29 11:44:13,,,play_store,নাইস,Complaint,0.46711525,True,0,Neutral,tfidf_fallback,1,4,7.207,High
com.facebook.lite,facebook,tuujji,5,0,2026-07-29 11:42:49,,,play_store,tuujji,Complaint,0.46711525,True,0,Neutral,tfidf_fallback,2,1,3.52,Low
com.facebook.lite,facebook,",😁",3,0,2026-07-29 11:42:31,,,play_store,",😁",Complaint,0.46711525,True,0,Neutral,tfidf_fallback,3,1,5.02,Medium
com.facebook.lite,facebook,perfect 👌,5,0,2026-07-29 11:41:33,,,play_store,perfect 👌,Praise,0.86609215,True,0,Neutral,tfidf_fallback,4,24,2.914,Low
com.facebook.lite,facebook,they are doing well,5,0,2026-07-29 11:38:19,,,play_store,they are doing well,Praise,0.5040757,True,0,Neutral,tfidf_fallback,5,1,1.02,Low
com.facebook.lite,facebook,Ayaw gumana sa cellphone ko,1,0,2026-07-29 11:30:10,,,play_store,ayaw gumana sa cellphone ko,Complaint,0.46711525,True,0,Neutral,tfidf_fallback,6,1,6.52,High
com.facebook.lite,facebook,Please help me.,5,0,2026-07-29 11:29:03,,,play_store,please help me.,Complaint,0.7883446,True,0,Neutral,tfidf_fallback,7,1,3.52,Low
com.facebook.lite,facebook,quality app,5,0,2026-07-29 11:22:08,,,play_store,quality app,Praise,0.5310082,True,0,Neutral,tfidf_fallback,9,1,1.02,Low
com.facebook.lite,facebook,up,5,0,2026-07-29 11:20:29,,,play_store,up,Complaint,0.420047,True,0,Neutral,tfidf_fallback,10,1,3.52,Low
com.facebook.lite,facebook,this app wonderful,5,1,2026-07-29 11:16:53,,,play_store,this app wonderful,Praise,0.7215808,True,0,Neutral,tfidf_fallback,11,1,1.366,Low
com.facebook.lite,facebook,private ya hard lo Tok tok,5,0,2026-07-29 11:16:25,,,play_store,private ya hard lo tok tok,Complaint,0.5270073,True,0,Neutral,tfidf_fallback,13,1,3.52,Low
com.facebook.lite,facebook,awesome,5,0,2026-07-29 11:14:28,,,play_store,awesome,Praise,0.9367801,True,0,Neutral,tfidf_fallback,15,41,3.303,Low
com.facebook.lite,facebook,thank you,5,0,2026-07-29 11:13:44,,,play_store,thank you,Praise,0.8874195,True,0,Neutral,tfidf_fallback,16,14,2.531,Low
com.facebook.lite,facebook,"Dear Facebook team, my account has bee pended. I did not violate any Instagram nor did I violate Facebook policy This policy nor a mistake Please Facebook team help",1,0,2026-07-29 11:12:25,,,play_store,"dear facebook team, my account has bee pended. i did not violate any instagram nor did i violate facebook policy this policy nor a mistake please facebook team help",Complaint,0.8527753,True,0,Neutral,tfidf_fallback,18,1,6.52,High
com.facebook.lite,facebook,"Alhmdulillah! Great experience using Facebook. Easy to use, lots of features, and helps me connect with everyone. Thank you to the developers for making it better with each update!",5,0,2026-07-29 11:04:31,,,play_store,"alhmdulillah! great experience using facebook. easy to use, lots of features, and helps me connect with everyone. thank you to the developers for making it better with each update!",Complaint,0.7435023,True,2,Positive,tfidf_fallback,19,1,3.52,Low
com.facebook.lite,facebook,fevboock,5,0,2026-07-29 11:01:38,,,play_store,fevboock,Complaint,0.46711525,True,0,Neutral,tfidf_fallback,21,1,3.52,Low
com.facebook.lite,facebook,some doing faurd in Facebook business please avoid that customers members ok Please Facebook sir we are requesting for Facebook company some members loose money,5,0,2026-07-29 11:00:49,,,play_store,some doing faurd in facebook business please avoid that customers members ok please facebook sir we are requesting for facebook company some members loose money,Complaint,0.7824786,True,0,Neutral,tfidf_fallback,22,1,3.52,Low
com.facebook.lite,facebook,Bakit Hindi ko ma open facebook ko,5,0,2026-07-29 10:50:30,,,play_store,bakit hindi ko ma open facebook ko,Complaint,0.47579437,True,0,Neutral,tfidf_fallback,23,1,3.52,Low
com.facebook.lite,facebook,😇,5,0,2026-07-29 10:45:21,,,play_store,😇,Complaint,0.46711525,True,0,Neutral,tfidf_fallback,24,1,3.52,Low
com.facebook.lite,facebook,Fast,5,0,2026-07-29 10:44:08,,,play_store,fast,Complaint,0.57217807,True,0,Neutral,tfidf_fallback,25,3,4.04,Medium
com.facebook.lite,facebook,👍👋,1,4,2026-07-29 10:40:55,,,play_store,👍👋,Complaint,0.46711525,True,0,Neutral,tfidf_fallback,27,1,7.325,High
com.facebook.lite,facebook,plsss update it always,5,0,2026-07-29 10:37:06,,,play_store,plsss update it always,Complaint,0.7065372,True,0,Neutral,tfidf_fallback,28,1,3.52,Low
com.facebook.lite,facebook,it the right,5,0,2026-07-29 10:33:47,,,play_store,it the right,Complaint,0.5761042,True,0,Neutral,tfidf_fallback,29,1,3.52,Low
com.facebook.lite,facebook,ဒေး ဒေး,5,0,2026-07-29 10:32:55,,,play_store,ဒေး ဒေး,Complaint,0.46711525,True,0,Neutral,tfidf_fallback,30,1,3.52,Low
com.facebook.lite,facebook,Ayaw ma open nag update Lang ako,1,0,2026-07-29 10:27:36,,,play_store,ayaw ma open nag update lang ako,Complaint,0.6097005,True,0,Neutral,tfidf_fallback,32,1,6.52,High
com.facebook.lite,facebook,Awesome,5,0,2026-07-29 10:21:08,,,play_store,awesome,Praise,0.9367801,True,0,Neutral,tfidf_fallback,15,41,3.303,Low
com.facebook.lite,facebook,bad,1,0,2026-07-29 10:20:52,,,play_store,bad,Complaint,0.94589376,True,-1,Negative,tfidf_fallback,33,5,7.344,High
com.facebook.lite,facebook,বিউটিফুল অ্যাপস আই লাভ ফেসবুক,5,0,2026-07-29 10:19:00,,,play_store,বিউটিফুল অ্যাপস আই লাভ ফেসবুক,Complaint,0.46711525,True,0,Neutral,tfidf_fallback,34,1,3.52,Low
com.facebook.lite,facebook,too slow,1,0,2026-07-29 10:02:59,,,play_store,too slow,Complaint,0.9154935,True,-1,Negative,tfidf_fallback,35,4,7.207,High
com.facebook.lite,facebook,happy,5,0,2026-07-29 09:58:22,,,play_store,happy,Praise,0.68591714,True,0,Neutral,tfidf_fallback,36,5,1.844,Low
com.facebook.lite,facebook,not satisfied,5,0,2026-07-29 09:56:59,,,play_store,not satisfied,Complaint,0.47515485,True,0,Neutral,tfidf_fallback,37,1,3.52,Low
com.facebook.lite,facebook,yo the Big M please fix your ai moderation yall just been beating me up everytime yall see an opportunity man wth please my god bro,1,0,2026-07-29 09:56:48,,,play_store,yo the big m please fix your ai moderation yall just been beating me up everytime yall see an opportunity man wth please my god bro,Complaint,0.90683764,True,0,Neutral,tfidf_fallback,38,1,6.52,High
com.facebook.lite,facebook,Time loss,5,0,2026-07-29 09:56:47,,,play_store,time loss,Complaint,0.6086266,True,0,Neutral,tfidf_fallback,39,1,3.52,Low
com.facebook.lite,facebook,star,5,0,2026-07-29 09:52:21,,,play_store,star,Praise,0.74651587,True,0,Neutral,tfidf_fallback,40,2,1.324,Low
com.facebook.lite,facebook,suuuuuupaaaar,5,0,2026-07-29 09:49:01,,,play_store,suuuuuupaaaar,Complaint,0.46711525,True,0,Neutral,tfidf_fallback,41,1,3.52,Low
com.facebook.lite,facebook,Facebook lite,5,0,2026-07-29 09:47:41,,,play_store,facebook lite,Complaint,0.46711525,True,0,Neutral,tfidf_fallback,42,1,3.52,Low
com.facebook.lite,facebook,perfect app I can recommend to anyone without doubt,5,0,2026-07-29 09:37:51,,,play_store,perfect app i can recommend to anyone without doubt,Complaint,0.501742,True,0,Neutral,tfidf_fallback,43,1,3.52,Low
com.facebook.lite,facebook,Yung account ko na suspended without a reason after magpa confirm ng identity ni meta. paki ayus naman sana:(,4,0,2026-07-29 09:32:00,,,play_store,yung account ko na suspended without a reason after magpa confirm ng identity ni meta. paki ayus naman sana:(,Complaint,0.8929951,True,0,Neutral,tfidf_fallback,44,1,4.27,Medium
com.facebook.lite,facebook,too much adds if it continues with this tendency I will remove forever in my heart and phone,1,0,2026-07-29 09:28:38,,,play_store,too much adds if it continues with this tendency i will remove forever in my heart and phone,Complaint,0.766774,True,0,Neutral,tfidf_fallback,46,1,6.52,High
com.facebook.lite,facebook,superb!,4,0,2026-07-29 09:25:43,,,play_store,superb!,Praise,0.8592688,True,0,Neutral,tfidf_fallback,47,3,2.29,Low
com.facebook.lite,facebook,Facebook lite is cool,5,0,2026-07-29 09:24:17,,,play_store,facebook lite is cool,Praise,0.49730486,True,0,Neutral,tfidf_fallback,48,1,1.02,Low
com.facebook.lite,facebook,i like it,5,0,2026-07-29 09:23:32,,,play_store,i like it,Praise,0.8379439,True,0,Neutral,tfidf_fallback,49,14,2.531,Low
com.facebook.lite,facebook,👍,5,0,2026-07-29 09:16:56,,,play_store,👍,Complaint,0.46711525,True,0,Neutral,tfidf_fallback,50,1,3.52,Low
com.facebook.lite,facebook,salamat,5,0,2026-07-29 09:12:41,,,play_store,salamat,Complaint,0.46711525,True,0,Neutral,tfidf_fallback,51,2,3.824,Low
